id,name,identity,intelligence,strength,speed,durability,power,combat,creator,universe,full_name,place_of_birth,first_appearance,alignment,height,weight,eye_color,hair_color
Laufey,Laufey,,High,100,100,100,100,100,Sony Interactive Entertainment,GoW - God of War,,Jötunheim,2018,Good,,,Blue,Strawberry Blond
Laugh-a-Lot Bear,Laugh-a-Lot Bear,,Average,45,50,40,65,10,,Care Bears - Care Bears Universe,,,,Good,,,Black,Orange
Laughing Jack,Laughing Jack,,Average,1,7,15,30,5,,Creepypasta - Creepypasta verse,,England 1800s (19th century),,Bad,213.4,,Brown,Black
Laura Moon,Laura Moon,,Average,30,11,15,35,35,,AG - American Gods,,,,Neutral,,,,
Laura Palmer,Laura Palmer,Laura Palmer,High,100,100,100,100,100,,Twin Peaks Verse - TPV,,,,,,,,
Laura Weathermill,Laura Weathermill,,Average,1,1,8,35,50,Dark Horse Comics,Buffy - Buffy the Vampire Slayer,Laura Kay Weathermill,,,Good,,,Green,Red
Lauren Reed,Lauren Reed,Lauren Reed,Average,1,6,10,0,70,ABC Studios,Alias - Alias,Lauren Reed,,,Bad,,,Hazel,Blond
Lavagirl,Lavagirl,,Good,25,25,35,60,50,,RCMU - the Rodriguez Cinematic Universe,,,,,,,,
Lavender,Lavender,,Average,100,70,75,60,90,Shueisha,DB - Dragon Ball Verse,,Universe 9,,Bad,,,Yellow,Gold
Lavos,Lavos,Lavos,High,100,100,100,100,90,Square Enix,Chrono - Chrono Universe,,,,Bad,,,,
Lawn Mite,Lawn Mite,Lawn Mite,Low,1,1,1,1,1,,Grounded - Grounded (2022 Game),,,,,,,,
Laxus Dreyar,Laxus Dreyar,Laxus Dreyar,Good,90,90,80,85,90,Kodansha,Fairy Tail - Fairy Tail,,,,Good,190.5,108.9,Grey,Blond
Layla El-Faouly,Layla El-Faouly,Layla Abdallah El-Faouly,Good,9,8,15,10,75,Marvel Comics,MCU - Marvel Cinematic Universe,,,,,,,,Black
Layla Miller,Layla Miller,Layla Rose Miller-Madrox,Good,1,6,10,40,45,Marvel Comics,Earth-616 - Prime Marvel Universe,,"New York City,",2005,Good,170.0,59.0,Green,Strawberry Blond
Lazari,Lazari,Lazari Swann,High,100,100,100,100,100,,Creepypasta - Creepypasta verse,,,,,,,,
Lazarus,Lazarus,Ðorđe Živković,Average,1,17,10,15,60,2K,Evolve-Verse - Evolve (2015),,,,,,,,
Lazarus-1,Lazarus,Lazarus,High,100,100,100,100,90,,WOD - World of Darkness,,,,,,,,
Lazav,Lazav,Lazav,High,13,16,35,60,60,Hasbro,MtG - Magic: the Gathering,,,2013,Bad,,,,
Lazlo En Kuldes,Lazlo En Kuldes,,Average,5,80,25,70,90,Konami,Suikoden - Suikoden,,,,Good,,,Blue,Brown
Lúthien,Lúthien,Tinúviel,High,5,17,40,90,70,J. R. R. Tolkien,Arda - Tolkein World,,,,Good,,,,
Lead,Lead,,Moderate,50,5,45,55,25,DC Comics,New Earth - Post-Crisis,,,,Good,,,Grey,No Hair
Leader,Leader,Samuel Sterns,High,5,6,15,60,40,Marvel Comics,Earth-616 - Prime Marvel Universe,Samuel Sterns,"Boise, Idaho",,Bad,177.8,63.5,Green,No Hair
Leader-1,Leader,Samuel Sterns,High,5,5,15,60,35,Marvel Comics,MAU - Marvel Animated Universe,,,,Bad,,,Green,Black
Leah,Leah,,Good,1,7,15,65,25,Activision Blizzard,Diablo - Diablo,,,,Good,,,Green,Brown
Leander,Leander,,Good,50,35,90,45,90,Cartoon Network,Ben 10 - Ben 10,,,,Bad,,,Red,
Leapfrog,Leapfrog,Eugene Paul Patilio Jr.,Average,1,7,5,10,70,Marvel Comics,MCU - Marvel Cinematic Universe,Eugene Paul Patilio Jr.,"Brooklyn, New York",2022,Good,180.3,84.1,Blue,Blond
Leatherback,Leatherback,,Average,75,25,30,50,40,Universal Studios,Pacific Rim - Pacific Rim,,The Anteverse,,Bad,8138.0,,,
Leatherface,Leatherface,Jed Sawyer,Moderate,10,6,10,25,30,Wildstorm,,Jedidiah Sawyer,,1974,Bad,198.1,98.4,Brown,Brown
Leatherface-1,Leatherface,Jedidiah Sawyer,Moderate,30,25,25,45,50,Mortal Kombat,MK - Mortal Kombat,,,,Bad,193.0,140.0,Black,Black
LeBlanc,LeBlanc,Emilia LeBlanc,High,1,6,25,75,60,Riot Games,LoL - League of Legends,,Ancient Noxus,,Bad,,,Gold,Black / Blue
Ledgic,Ledgic,,Average,100,100,85,90,85,Toei Animation,,,,,,,,,
LeDuc,LeDuc,Le Duc,High,100,100,100,100,90,,WOD - World of Darkness,,,,,,,,
Lee Christmas,Lee Christmas,,Good,8,15,10,15,70,,Expendables - Expendables,,,,Good,177.0,78.0,Brown,No Hair
Lee Joohee,Lee Joohee,,Average,1,7,15,35,20,,SLU - Solo Leveling Universe,,,,Good,,,Blue,Orange
Lee Shenlon,Lee Shenlon,,High,1,1,15,30,40,Shueisha,Cv - Cardfight!! Vanguard,,,,Good,,,Yellow,Black
Lee Sin,Lee Sin,Lee Sin,Average,25,20,16,30,90,Riot Games,LoL - League of Legends,,Ionia,,Good,,,,Brown
Leeloo,Leeloo,Leluminaï Lekatariba Lamina-Tchaï Ekbat De Sebat,Low,0,0,0,0,0,,Fifth Element - The Fifth Element Universe,,,1997,Good,173.0,64.0,Blue,Orange
Left Messenger Yang,Left Messenger Yang,Yang Xiao,Good,25,30,20,20,95,,Condor Trilogy - Shèdiāo Sānbùqǔ,,,,Good,,,Black,Black
Legacy,Legacy,Paul Parsons VIII,Good,95,50,55,75,60,,SotM - Sentinels of the Multiverse,,,2012,Good,188.0,,Blue,Brown
Legacy (WW2),Legacy (WW2),Paul Parsons VII,Good,75,30,25,60,75,,SotM - Sentinels of the Multiverse,,,2013,Good,,,Blue,Brown
Legato Bluesummers,Legato Bluesummers,Legato Bluesummers,Average,1,55,45,80,75,Tokuma Shoten,Trigun - Trigun,,,,,,,,
Legion,Legion,David Haller,High,100,100,100,100,80,Marvel Comics,Earth-616 - Prime Marvel Universe,David Charles Haller,Israel,1985,Good,175.3,59.0,Green / Blue,Black
Legion-1,Legion,David Haller,High,25,19,25,100,50,Marvel Comics,EMCU - Extended Marvel Cinematic Universe (2000-2019 Movies),,,,Neutral,,,,
Legion (Delphic),Legion (Delphic),David Haller,High,100,100,100,100,100,Marvel Comics,Earth-616 - Prime Marvel Universe,David Charles Haller,,,,,,White,Black
Legolas,Legolas,Legolas Of Mirkwood,Good,18,25,10,20,80,J. R. R. Tolkien,,,,,Good,203.2,94.8,Blue,Blond
Lei-Kung,Lei-Kung,Lei-Kung,Good,45,25,25,50,100,Marvel Comics,Earth-616 - Prime Marvel Universe,Lei-Kung,K'un L'un Capital City,,Good,,,Brown,No Hair
Leica Crusade,Leica Crusade,,Average,18,6,25,50,70,,Demonbane - Demonbane,,,,Good,,,,
Lelith Hesperax,Lelith Hesperax,,Average,25,25,30,60,100,Games Workshop,Warhammer 40K - W40K,,,,,,,,
Lelouch,Lelouch,Lelouch Vi Britannia,High,1,1,5,25,15,,Code Geass - Code Geass,Lelouch Vi Britannia,,,Neutral,177.8,55.8,Violet,Black
Leman Russ,Leman Russ,Leman Russ,Good,100,100,100,100,100,Games Workshop,Warhammer 40K - W40K,,,,,,,,
Lemillion,Lemillion,Mirio Togata,Good,25,30,18,65,80,Shueisha,MHA - My Hero Academia,,,,,,,,
Lemmy,Lemmy,,Average,1,35,50,35,30,Nickelodeon,Winx Club Universe - Winx Club Universe,,,,,,,,
Lemon,Lemon,Lemon Irvine,Low,0,0,0,0,0,Shueisha,Mashle - Mashle: Magic and Muscles,Remon Āvin,,,Good,162.0,,Amber,Blond
Lena Luthor,Lena Luthor,Lena Luthor,Good,1,5,5,10,15,DC Comics,Earth 96 - DC Superhero Girls (2019- Tv Show),,,,Bad,,,Green,Blond
Lenalee Lee,Lenalee Lee,Lenalee Lee,Low,0,0,0,0,0,Shueisha,D.Gray-man - D.Gray-man,,,,Good,168.0,48.0,Purple,Black
Lennox,Lennox,Ida Lennox,Good,25,17,15,30,65,2K,Evolve-Verse - Evolve (2015),,,,Good,,,,
Leno Ichikawa,Leno Ichikawa,,Good,25,30,25,50,75,Shueisha,Kaiju No. 8 - Kaiju No. 8,,,,Good,174.0,,Violet,Silver
Lenore,Lenore,,Good,25,25,20,30,50,Konami,C17S - Castlevania (Series 2017-),,,,Bad,,,Red,Orange
Lenore-1,Lenore,,Average,1,6,15,60,19,,Teen Wolf - Teen Wolf Universe,,,,,,,,
Leo,Leo,,Average,1,1,5,10,60,Shueisha,Yu-Gi-Oh! - Yu-Gi-Oh!,,,,Good,145.0,35.0,Gold,Green
Leo Bonhart,Leo Bonhart,Leo Bonhart,Average,5,25,30,30,90,,Witcher - The Witcher Universe,,,,Bad,,,,Grey
Leo Dooley,Leo Dooley,Leo Dooley,Good,35,6,15,35,45,Disney,Lab Rats - Lab Rats Universe,Leonard Francis Dooley,,,Good,177.8,77.02,Brown,Black
Leo Fitz,Leo Fitz,Leopold Fitz,Good,1,1,8,10,70,Marvel Comics,MCU - Marvel Cinematic Universe,Leopold James Fitz,Scotland,,Good,172.7,64.9,Blue,Brown
Leo Valdez,Leo Valdez,Leo Valdez,High,100,50,50,75,80,Rick Riordan,PJO - Percy Jackson & the Olympians,Leonidas Valdez,,,Good,167.6,,Brown,Black
Leo Wyatt,Leo Wyatt,Leonardo Wyatt,Low,0,0,0,0,0,Zenescope Entertainment,Charmed - Charmed Universe,Leonardo Wyatt,"San Francisco (May 6, 1924)",,Good,,,Green,Blond
Leo Wyatt (Avatar Powers),Leo Wyatt (Avatar Powers),Leonardo Wyatt,Good,1,1,15,100,30,Zenescope Entertainment,Charmed - Charmed Universe,Leonardo Wyatt,"San Francisco (May 6th, 1924)",,Good,,,Green,Blond
Leo Wyatt (Elder Powers),Leo Wyatt (Elder Powers),Leonardo Wyatt,Good,1,1,15,80,40,Zenescope Entertainment,Charmed - Charmed Universe,Leonardo Wyatt,"San Francisco (May 6, 1924)",,Good,,,Green,Blue
Leo Wyatt (Whitelighter),Leo Wyatt (Whitelighter),Leonardo Wyatt,Good,1,1,15,70,10,Zenescope Entertainment,Charmed - Charmed Universe,Leonardo Wyatt,"San Francisco (May 6th, 1924)",,Good,,,Green,Blond
Leon,Leon,,Good,1,1,10,30,70,Nintendo,Pokemon - Pokemon,,Galar,,Good,,,Yellow,Purple
Leon-1,Leon,Léon,Average,1,6,10,10,60,,Léon - Léon: The Professional,,,,Neutral,,,,
Leon Belmont,Leon Belmont,,Good,60,90,100,100,100,Konami,Castlevania - Castlevania,,,,Good,,,Blue,Blond
Leon Cromwell,Leon Cromwell,,Good,100,100,35,85,90,Kodansha,Tensura - Tensei Shitara Slime datta ken,,,,,,,Blue,Blond
Leon Gehste,Leon Gehste,Leon D.S. Gehste,Low,0,0,0,0,0,Square Enix,Star Ocean - Star Ocean,,Expel,,Good,135.0,36.0,Blue,Blue
Leon Of The Lion,Leon Of The Lion,Leon,Good,100,75,55,65,75,,AWLBA - A Wild Last Boss Appeared,,,,Bad,193.0,,Red,Red
Leon S. Kennedy,Leon S. Kennedy,Leon Scott Kennedy,Good,15,14,13,20,90,Capcom,Resident Evil - Resident Evil Game & Movie universe,,,1998,Good,180.0,75.0,Blue,Blond
Leon Soryu,Leon Soryu,,Good,1,6,40,70,80,Shueisha,Cv - Cardfight!! Vanguard,,,,Good,,,Purple,Yellow
Leona,Leona,Leona,Average,30,8,55,80,75,Riot Games,LoL - League of Legends,,Mount Targon,,Good,,,,Red
Leonard Burns,Leonard Burns,Leonard Burns,Good,25,11,35,70,80,Kodansha,Fire Force - Fire Force Universe,,,,Neutral,186.0,91.0,Green,Grey
Leonard McCoy,Leonard McCoy,Leonard McCoy,Low,0,0,0,0,0,Gene Roddenberry,Star Trek - Star Trek,Leonard Horatio McCoy,,,Good,182.9,71.7,Blue,Brown
Leonardo,Leonardo,Leonardo,Good,15,25,20,20,85,IDW Publishing,Injustice - Injustice (2013-2017 Games and Comics),,,,Good,157.5,81.6,Blue,No Hair
Leonardo-1,Leonardo,,Average,25,25,30,30,80,IDW Publishing,TMNT - Teenage Mutant Ninja Turtles,,,,Good,,,Blue,No Hair
Leonardo-2,Leonardo,Leonardo,Average,45,30,45,55,100,Nickelodeon,Rise Of The TMNT - Rise of the Teenage Mutant Ninja Turtles,,,,Good,,,Black,No Hair
Leonardo-3,Leonardo,,Average,5,6,15,20,70,Nickelodeon,TMNT 2014 - Teenage Mutant Ninja Turtles (2014-2016 movies),,,,Good,,,,No Hair
Leonardo-4,Leonardo,Leonardo,Good,25,25,30,35,85,,TMNT 2012 - Teenage Mutant Ninja Turtles (2012-2017 TV series),Leonardo,"New York City (1997),",,Good,160.0,70.3,Blue,No Hair
Leonardo (Roninverse),Leonardo (Roninverse),Leonardo Hamato,Good,11,25,19,45,100,IDW Publishing,TMNT - Teenage Mutant Ninja Turtles,,,,,,,,
Leonardo Watch,Leonardo Watch,Leonardo Watch,Average,1,25,10,50,10,Shueisha,BBB - Blood Blockade Battlefront,,,,Good,,,Blue,Auburn
Leone,Leone,Leone,Good,30,25,25,30,85,Square Enix,AGK - Akame Ga Kill,,,,Good,170.0,,Gold,Blond
Leone Abbacchio,Leone Abbacchio,,Average,1,6,8,5,90,Shueisha,JJBA - JoJo's Bizarre Adventure,,italy,,Good,188.0,,Yellow,White
Leonidas,Leonidas,,Average,25,85,50,65,90,Tokuma Shoten,Record Of Ragnarok - Record Of Ragnarok,,,,Neutral,,,,
Leonidas I,Leonidas I,,Average,8,7,10,10,70,Warner Brothers,300 - 300 (Movies - 2006 & 2014),,,,,,,Brown,Black
Leopold Rochester,Leopold Rochester,,Low,0,0,0,0,0,,Criminal Case - criminal case,,America,,Good,5.0,230.0,Blue,Grey
Leopold Vermillion,Leopold Vermillion,Leopold Vermillion,Average,6,25,40,60,50,Shueisha,BC - Black Clover,Leopold Vermillion,Clover Kingdom,,,170.0,,Teal,Red
Leorio,Leorio,Leorio Paradinight,Average,25,6,10,25,20,Shueisha,HXH - Hunter X Hunter Verse,,,,Good,193.0,85.0,Brown,Black
Lerterimas,Lerterimas,Lerterimas,High,100,100,100,100,95,,WOD - World of Darkness,,,,,,,,
Lesser Bogarl,Lesser Bogarl,Bogarl,Average,75,25,30,50,40,,USU - Ultra Series Universe,,,,Bad,4700.0,47000000.0,,
Lest Karr,Lest Karr,,Good,55,25,15,30,80,Shueisha,SotE - Seraph Of The End,,,,Neutral,,,Red,Magenta
Lester,Lester,,Good,25,25,20,30,80,Shueisha,Yu-Gi-Oh! - Yu-Gi-Oh!,,,,Bad,,,Green,Red
Lester-1,Lester,Lester Crest,Good,1,1,1,20,40,Rockstar Games,GTA - Grand Theft Auto,,,,Neutral,,,Blue,Brown
Lester DeRosso,Lester DeRosso,Lester DeRosso,Good,100,70,50,65,85,Square Enix,BS - Bravely Series,,,,Bad,,,Red,Black
Lester Patel,Lester Patel,Lester Patel,Average,1,1,5,0,5,Warner Brothers,Chuck - Chuck,Lester Indira Golda Patel,,,Good,,,Brown,Black
Leticia Draculea,Leticia Draculea,,Good,100,100,100,100,50,Kadokawa,Mondaiji-tachi - Mondaiji-tachi ga Isekai Kara Kuru So Desu yo?,,,,,,,Red,Blond
