,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,full name,place of birth,first appearance,alignment,universe,gender,height,weight,eye color,hair color
0,Rot Lop Fan,/rot-lop-fan/10-21802/,,0,0,0,0,0,0,,,,,,,,-,-,,
1,Rotar,/rotar/10-21023/,,0,0,0,0,0,0,,,,,,MotU - Masters Of The Universe,,-,-,,
2,Rote Spinne,/rote-spinne/10-50101/,,80,100,100,100,100,100,['Nigh-Omnipotence'],,,,Bad,SB - Shinza Banshou,Male,"179 cm • 5'10.5""",60 kg • 132.28 lbs,Black,Cyan
3,Rotigus,/rotigus/10-28161/,Rotigus,100,100,100,100,100,85,['Nigh-Omnipotence'],,,,,,,-,-,,
4,Rotom,/rotom/10-49476/,,0,0,0,0,0,0,,,,,,Pokemon - Pokemon,,-,-,,
5,Rotta,/rotta/10-30462/,Rotta The Huttlet,0,0,0,0,0,0,,Rotta The Huttlet,Tatooine,Star Wars: The Clone Wars Film,-,Star Wars - Star Wars Universe,Male,"43 cm • 1'4.9""",-,Orange,No Hair
6,Rouboute Guilliman,/rouboute-guilliman/10-27629/,Rouboute Guilliman,0,0,0,0,0,0,,,,,-,,-,-,-,-,-
7,Rouge The Bat,/rouge-the-bat/10-13601/,Rouge The Bat,75,75,75,50,80,85,"['Accelerated Healing', 'Acrobatics', 'Adaptation', 'Age Manipulation', 'Agility', 'Animal Attributes', 'Banish', 'Berserk Mode', 'Bloodlust', 'Bullet Time', 'Clairvoyance Resistance', 'Cloaking', 'Cold Resistance', 'Corruption Resistance', 'Creation', 'Danger Sense', 'Dexterity', 'Dig', 'Durability', 'Durability Negation', 'Elasticity', 'Electrokinesis', 'Element Control', 'Emotional Power Up', 'Empathy', 'Endurance', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Thievery', 'Enhanced Touch', 'Fate Resistance', 'Fire Resistance', 'Flight', 'Gliding', 'Gravity Control', 'Hacking', 'Heat Resistance', 'Illumination', 'Illusion Resistance', 'Indomitable Will', 'Intelligence', 'Invulnerability', 'Jump', 'Levitation', 'Light Control', 'Longevity', 'Magic Resistance', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Metal Manipulation', 'Mind Control Resistance', 'Natural Armor', 'Natural Weapons', 'Pain Manipulation', 'Pain Suppression', 'Peak Human Condition', 'Possession Resistance', 'Power Sense', 'Radar Sense', 'Rage Power', 'Reflexes', 'Shockwaves Generation', 'Sonic Scream', 'Soul Resistance', 'Spaceflight', 'Spatial Awareness', 'Stamina', 'Super Speed', 'Super Strength', 'Vision - Infrared', 'Vision - Telescopic', 'Wallcrawling', 'Cryokinesis', 'Curse Resistance', 'Holy Resistance', 'Hunters Instinct', 'Insanity', 'Interstellar Travel', 'Love Inducement', 'Stealth', 'Strength Force', 'Supernatural Condition', 'Swordsmanship', 'Telepathy Resistance', 'Toxin and Disease Resistance', 'Void Manipulation', 'Weapon-based Powers', 'Weapons Master', 'Weather Control']",Rouge The Bat,,Sonic Adventure 2,Neutral,,Female,"104.1 cm • 3'5""",-,Green,White
8,Rough Justice,/rough-justice/10-42654/,,0,0,0,0,0,0,,,,,,Earth-6706 - Marvel's Earth-6706,,-,-,,
9,Rough The Skunk,/rough-the-skunk/10-44310/,,40,13,90,15,10,15,"['Animal Attributes', 'Animal Oriented Powers', 'Causality Resistance', 'Homing Attack', 'Stamina', 'Super Speed', 'Super Strength', 'Toon Force', 'Vision - Night', 'Agility', 'Fear Inducement', 'Gadget Usage', 'Preparation', 'Stealth']",,,,Bad,,,-,-,-,-
