,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,Shoki,/shoki/10-29052/,Shoki,75,60,60,55,75,100,"['Damage Boost', 'Damage Reduction', 'Damage Transferal', 'Data Manipulation', 'Death Manipulation', 'Death Touch', 'Durability', 'Enhanced Hearing', 'Enhanced Memory', 'Intelligence', 'Madness Manipulation', 'Natural Armor', 'Natural Weapons', 'Ninjutsu', 'Ocular Techniques', 'Peak Human Condition', 'Photographic Reflexes', 'Physical Anomaly', 'Spatial Awareness', 'Spatial Communication', 'Spatial Manipulation', 'Spinjitzu', 'Stamina', 'Statistics Amplification', 'Statistics Reduction', 'Status Effect Inducement', 'Super Speed', 'Super Strength', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Ability Shift', 'Accelerated Development', 'Accelerated Healing', 'Acrobatics', 'Adaptation', 'Afterimage Creation', 'Age Manipulation', 'Agility', 'Amber', 'Animal Attributes', 'Animal Control', 'Astral Projection', 'Attack Negation', 'Attack Reflection', 'Aura', 'Berserk Mode', 'Biokinesis', 'Bloodlust', 'Chaos Manipulation', 'Chi Manipulation', 'Clairvoyance', 'Clairvoyance Resistance', 'Cold Resistance', 'Curse Resistance', 'Danger Sense', 'Dexterity', 'Dream Manipulation', 'Duplication', 'Durability Negation', 'Electricity Resistance', 'Element Control', 'Empathy', 'Endurance', 'Energy Blasts', 'Energy Constructs', 'Energy Embodiment', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Condition', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Entropy Projection', 'Extrasensory Perception', 'Fate Manipulation', 'Fate Resistance', 'Fear Inducement', 'Fear Manipulation', 'Fire Resistance', 'Godly Physiology', 'Heat Resistance', 'Hypnokinesis', 'Illumination', 'Illusion Resistance', 'Illusions', 'Information Analysis', 'Information Manipulation', 'Instinctive Reaction', 'Intangibility', 'Intuitive aptitude', 'Invulnerability', 'Jump', 'Life Manipulation', 'Magic', 'Magic Resistance', 'Master Martial Artist', 'Matter Manipulation', 'Memory Manipulation', 'Mind Control', 'Mind Control Resistance', 'Non-Physical Interaction', 'Pain Manipulation', 'Pain Suppression', 'Perfect Recollection', 'Power Bestowal', 'Power Mimicry', 'Power Nullifier', 'Precognition', 'Preparation', 'Psionic Powers', 'Rage Inducement', 'Rage Power', 'Reactive Evolution', 'Reactive Power Level', 'Reflexes', 'Sense Manipulation', 'Sleep Manipulation', 'Soul Manipulation', 'Soul Resistance', 'Stealth', 'Summoning', 'Telepathy Resistance', 'Terrakinesis', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vitakinesis', 'Void Manipulation', 'Regeneration', 'Vision - Cryo']",Fist Of The North Star - FOTNS,,,,,,-,-,,
1,Shokichi Komachi,/shokichi-komachi/10-43104/,,0,0,0,0,0,0,,Terraformars - Terra Formars,,,,,,-,-,,
2,Shoko Ieiri,/shoko-ieiri/10-33460/,,0,0,0,0,0,0,,Jujutsu Kaisen Universe - Jujutsu Kaisen,,,Jujutsu Kaisen Episode 5,Good,Female,-,-,Brown,Brown
3,Shoko Saeki,/shoko-saeki/10-39198/,,0,0,0,0,0,0,,Blue Period,,,,,,-,-,,
4,Shoko Sugawara,/shoko-sugawara/10-41539/,,0,0,0,0,0,0,,Psycho-Pass - Psycho-Pass,,,,,,-,-,,
5,Shokuhou Misaki,/shokuhou-misaki/10-32243/,,0,0,0,0,0,0,,Toaru Universe - A Certain Magical Index Universe,,,,,,-,-,,
6,Shoot McMahon,/shoot-mcmahon/10-27666/,Shoot McMahon,0,0,0,0,0,0,,HXH - Hunter X Hunter Verse,,,Manga: Hunter x Hunter - Chapter #200,Good,Male,-,-,Black,Purple
7,Shooting Star,/shooting-star/10-462/,Victoria Star,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,Good,-,-,-,-,-
8,Shopkeeper,/shopkeeper/10-38155/,,0,0,0,0,0,0,,Black Butler - Black Butler,,,,,,-,-,,
9,Shoretrooper,/shoretrooper/10-26915/,,0,0,0,0,0,0,,Star Wars - Star Wars Universe,,,,,,-,-,,
10,Shorm,/shorm/10-21796/,,0,0,0,0,0,0,,,,,,,,-,-,,
11,Short Round,/short-round/10-38812/,,0,0,0,0,0,0,,Indiana Jones - Indiana Jones,,,,,,-,-,,
12,Shortpack,/shortpack/10-463/,,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,Good,,-,-,,
13,Shorty,/shorty/10-35029/,,0,0,0,0,0,0,,Tangled,,,,,,-,-,,
14,Shosa,/shosa/10-27603/,,60,75,75,80,50,90,"['Acrobatics', 'Agility', 'Chi Manipulation', 'Danmaku', 'Dexterity', 'Durability', 'Endurance', 'Intelligence', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Ability Shift', 'Accelerated Healing', 'Animal Attributes', 'Clairvoyance', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Smell', 'Heat Resistance', 'Invulnerability', 'Light Control', 'Master Tactician', 'Power Sense', 'Stealth']",DB - Dragon Ball Verse,,,,-,Male,-,-,Blue,Green
15,Shotaro Kaneda,/shotaro-kaneda/10-25772/,Sh?tar? Kaneda,0,0,0,0,0,0,,,,,,,,-,-,,
16,Shotgun,/shotgun/10-40531/,J. R. Walker,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
17,Shotgun Mary,/shotgun-mary/10-25521/,Mary Delacroix,50,8,10,10,25,65,"['Acrobatics', 'Agility', 'Durability', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Accelerated Healing', 'Endurance', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Weapons Master']",F:TWS - Fate: The Winx Saga,,,,,,-,-,,
18,Shoto,/shoto/10-12546/,Akihide Karatsu,0,0,0,0,0,0,,,,,,,,-,-,,
19,Shoto Todoroki,/shoto-todoroki/10-11989/,,75,25,25,40,70,70,"['Cold Resistance', 'Cryokinesis', 'Durability', 'Fire Control', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Intelligence', 'Peak Human Condition', 'Stamina', 'Super Speed', 'Super Strength', 'Accelerated Development', 'Acrobatics', 'Agility', 'Danger Sense', 'Dexterity', 'Endurance', 'Indomitable Will', 'Jump', 'Master Martial Artist', 'Reflexes', 'Stealth', 'Wind Control', 'Flight']",MHA - My Hero Academia,,,,,,-,-,,
