,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,Robin,/robin/10-33085/,,0,0,0,0,0,0,,Earth-D,,,,Good,Male,-,-,-,-
1,Robin,/robin/10-32991/,Stephanie Brown,0,0,0,0,0,0,,DCeased - DCeased,,,,,,-,-,,
2,Robin,/robin/10-21524/,Dick Grayson,60,1,7,5,10,80,,Burtonverse - Batman (1989-1997 Movies),,,,,,-,-,,
3,Robin,/robin/10-23496/,Damian Wayne,85,25,25,10,10,100,"['Acrobatics', 'Agility', 'Intelligence', 'Master Martial Artist', 'Peak Human Condition', 'Stamina', 'Stealth', 'Swordsmanship', 'Vehicular Mastery', 'Weapon-based Powers', 'Weapons Master', 'Dexterity', 'Electrokinesis', 'Element Control', 'Endurance', 'Explosion Manipulation', 'Hacking', 'Indomitable Will', 'Information Analysis', 'Marksmanship', 'Master Tactician', 'Power Nullifier', 'Preparation', 'Smoke Manipulation']",DCUAOM - DC Universe Animated Original Movies,,,,-,-,-,-,-,-
4,Robin,/robin/10-23553/,Robin,85,15,20,20,60,20,"['Electrokinesis', 'Fire Control', 'Intelligence', 'Magic', 'Master Tactician', 'Statistics Amplification', 'Weapons Master', 'Wind Control', 'Darkforce Manipulation', 'Information Analysis', 'Levitation', 'Light Control', 'Resurrection', 'Telekinesis']",Fire Emblem - Fire Emblem Universe,,Fell Dragon Grima,Fire Emblem: Awakening,,Male,"175.3 cm • 5'9""",-,Brown,White
5,Robin,/robin/10-30545/,Timothy,0,0,0,0,0,0,,DCeased - DCeased,,,,Bad,Male,"165 cm • 5'5""",56 kg • 123.46 lbs,Blue,Black
6,Robin,/robin/10-30577/,Dick Grayson,50,1,5,5,5,55,"['Acrobatics', 'Agility', 'Dexterity', 'Marksmanship', 'Reflexes', 'Stealth', 'Master Martial Artist']",DCSHG - DC Superhero Girls (2019- Tv Show),,,,,,-,-,,
7,Robin,/robin/10-30043/,Damian Wayne,0,0,0,0,0,0,,Lil Gotham - Batman: Li'L Gotham,,,,,,-,-,,
8,Robin,/robin/10-34004/,Tim Drake,0,0,0,0,0,0,,Titans - Titans (2018-2019 TV Series),,,,,,-,-,,
9,Robin,/robin/10-42390/,,0,0,0,0,0,0,,Earth-40 - Earth 40,,,,,,-,-,,
10,Robin,/robin/10-43957/,Talia Kane,0,0,0,0,0,0,,Earth-11 - DC's Earth-11,,,,,,-,-,,
11,Robin,/robin/10-47417/,Dick Grayson,60,25,12,20,40,75,"['Acrobatics', 'Master Martial Artist', 'Super Speed', 'Super Strength', 'Agility', 'Bloodlust', 'Dexterity', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Smell', 'Fear Inducement', 'Grappling/Climbing', 'Immortality', 'Invulnerability', 'Marksmanship', 'Master Tactician', 'Precognition', 'Preparation', 'Reflexes', 'Regeneration', 'Stasis', 'Stealth', 'Swordsmanship', 'Telepathy', 'Transformation', 'Weapons Master', 'Disguise Mastery', 'Indomitable Will', 'Information Analysis']",Earth-43 - Earth 43,,,,Good,Male,-,-,Red,Black
12,Robin,/robin/10-47772/,Richard Grayson,0,0,0,0,0,0,,Earth-21 - DC's Earth-21,,,,,,-,-,,
13,Robin Arryn,/robin-arryn/10-15103/,,0,0,0,0,0,0,,,,,,,,-,-,,
14,Robin Buckley,/robin-buckley/10-18371/,,0,0,0,0,0,0,,,,,,,,-,-,,
15,Robin Goodfriend,/robin-goodfriend/10-28803/,,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
16,Robin Hood,/robin-hood/10-15214/,Sir Robert Hode,0,0,0,0,0,0,,,,,,,,-,-,,
17,Robin Hood,/robin-hood/10-20602/,,0,0,0,0,0,0,,Robin Hood,,,,,,-,-,,
18,Robin King,/robin-king/10-21000/,Bruce Wayne,0,0,0,0,0,0,,DM - Dark Multiverse,,,,,,-,-,,
19,Robin Nico,/robin-nico/10-22556/,,80,100,50,40,30,25,"['Acrobatics', 'Agility', 'Organic Manipulation', 'Reflexes', 'Size Changing']",OP - One Piece Verse,,,,Good,Female,"188 cm • 6'2""",-,Black,Black
20,Robinbot,/robinbot/10-20218/,,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,,,,,,-,-,,
21,Robo,/robo/10-31707/,Robo,0,0,0,0,0,0,,Chrono - Chrono Universe,,,Chrono Trigger (video game),Good,-,-,-,-,-
22,Robo Fizz,/robo-fizz/10-30513/,Robotic Fizzarolli,55,13,25,15,20,25,"['Acrobatics', 'Agility', 'Bionics', 'Cyborgization', 'Dexterity', 'Durability', 'Endurance', 'Fire Resistance', 'Heat Resistance', 'Hellfire Resistance', 'Insanity', 'Longevity', 'Natural Armor', 'Pain Suppression', 'Reflexes', 'Self-Sustenance', 'Stamina', 'Toxin and Disease Resistance', 'Berserk Mode', 'Bloodlust', 'Cold Resistance', 'Elasticity', 'Indomitable Will', 'Musical Inducement', 'Natural Weapons', 'Electricity Resistance', 'Enhanced Sight', 'Fear Inducement', 'Grappling/Climbing', 'Jaw Strength', 'Jump', 'Radar Sense', 'Social Influencing', 'Unholy Resistance']",Hazbinverse - Hazbin Hotel Universe,,,Helluva Boss Ep2: Loo Loo Land,Bad,Male,-,-,Green,No Hair
23,Robo Guard,/robo-guard/10-37277/,,0,0,0,0,0,0,,JTU - Johnny Test Universe,,,,,,-,-,,
24,Robo-Sumo,/robo-sumo/10-20025/,,0,0,0,0,0,0,,,,,,,,-,-,,
25,Robo-Yeti,/robo-yeti/10-30102/,,55,75,25,30,40,65,"['Cold Resistance', 'Endurance', 'Enhanced Hearing', 'Enhanced Sight', 'Fire Resistance', 'Grappling/Climbing', 'Heat Resistance', 'Large Size', 'Radiation Immunity', 'Reflexes', 'Self-Sustenance', 'Toxin and Disease Resistance', 'Weapon-based Powers', 'Agility', 'Animal Attributes', 'Dexterity', 'Electricity Resistance', 'Electrokinesis', 'Energy Resistance', 'Explosion Manipulation', 'Homing Attack', 'Jump', 'Master Martial Artist', 'Substance Secretion', 'Weapons Master', 'Acrobatics', 'Camouflage', 'Invulnerability', 'Marksmanship', 'Pressure Points', 'Vision - Infrared', 'Vision - Thermal']",G:TS - Godzilla: The Series,,,,Good,Other,"50 m • 164'0.5""",-,Red,White
26,Robocop,/robocop/10-11178/,Alex Murphy,65,25,6,25,20,35,"['Durability', 'Stamina', 'Cyborgization', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Information Analysis', 'Marksmanship', 'Power Suit', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Weapon-based Powers', 'Weapons Master']",Robocop - Robocop,Alexander James Murphy,,Robocop (1987),Good,Male,"188 cm • 6'2""",-,,
27,Robocop 2,/robocop-2/10-11244/,Cain,0,0,0,0,0,0,,Robocop - Robocop,,,,Bad,Male,-,-,,
28,Robodevil,/robodevil/10-49086/,,0,0,0,0,0,0,,Earth-9047 - Humorverse,,,,,,-,-,,
29,Robopal,/robopal/10-37276/,,0,0,0,0,0,0,,JTU - Johnny Test Universe,,,,,,-,-,,
30,Robot,/robot/10-18869/,Rudolph Conners,90,100,50,60,70,60,"['Accelerated Healing', 'Energy Beams', 'Energy Blasts', 'Energy Resistance', 'Fire Resistance', 'Flight', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Longevity', 'Power Suit', 'Regeneration', 'Space Survivability', 'Spaceflight', 'Fire Control', 'Sound Manipulation']",Invincible,,,,Bad,Male,-,-,-,Orange
31,Robot,/robot/10-48013/,,0,0,0,0,0,0,,APV - Amazon Prime Video,,,,,,-,-,,
