,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,full name,place of birth,first appearance,alignment,universe,gender,height,weight,eye color,hair color
0,Orendi,/orendi/10-25500/,Orendi,55,15,25,50,85,75,"['Dark Arts', 'Darkforce Manipulation', 'Durability', 'Energy Blasts', 'Magic', 'Master Martial Artist', 'Pressure Points', 'Shadow Manipulation', 'Stamina', 'Stealth', 'Super Speed', 'Teleportation', 'Vortex Creation', 'Acrobatics', 'Agility', 'Antimatter Manipulation', 'Chaos Magic', 'Cold Resistance', 'Energy Absorption', 'Fear Manipulation', 'Fire Resistance', 'Heat Resistance', 'Illumination', 'Illusions', 'Insanity', 'Invulnerability', 'Jump', 'Light Control', 'Molecular Dissipation', 'Molecular Oscillation', 'Omnilingualism', 'Pain Suppression', 'Precognition', 'Psionic Powers', 'Reflexes', 'Regeneration', 'Telepathy', 'Toxin and Disease Resistance', 'Weapons Master']",,,,,,,-,-,,
1,Orga,/orga/10-15212/,Millenian,0,0,0,0,0,0,,,,,,,,-,-,,
2,Orga (Millennium),/orga-millennium/10-28107/,Oruga,50,80,6,40,70,15,"['Accelerated Healing', 'Jaw Strength', 'Natural Armor', 'Natural Weapons', 'Regeneration', 'Animal Attributes', 'Cold Resistance', 'Electricity Resistance', 'Endurance', 'Energy Blasts', 'Energy Resistance', 'Enhanced Sight', 'Enhanced Smell', 'Fire Resistance', 'Heat Resistance', 'Invulnerability', 'Jump', 'Large Size', 'Mechanical Aptitude', 'Radiation Absorption', 'Radiation Immunity', 'Reactive Evolution', 'Summoning', 'Toxin and Disease Resistance', 'Weapon-based Powers', 'Homing Attack', 'Power Absorption', 'Technological Possession']",,,Godzilla 2000: Millenium,Bad,Toho - Toho Expanded Universe,Male,"75 m • 246'0.8""","40,000 ton • 88,184,904.8 lbs",Orange,No Hair
3,Orga Nanagear,/orga-nanagear/10-31145/,Orga Nanagear,0,0,0,0,0,0,,,,Manga: Fairy Tail - Chapter #268,Neutral,Fairy Tail - Fairy Tail,Male,-,-,White,Green
4,Orgalorg,/orgalorg/10-24759/,,100,75,55,55,90,15,"['Peak Human Condition', 'Dream Manipulation', 'Fear Inducement', 'Fear Manipulation', 'Flight', 'Immortality', 'Size Changing', 'Supernatural Condition']",,,,,,,-,-,,
5,Organizer,/organizer/10-42477/,Abner Jonas,0,0,0,0,0,0,,,,,,Earth-616 - Prime Marvel Universe,,-,-,,
6,Orgrim Doomhammer,/orgrim-doomhammer/10-14721/,,0,0,0,0,0,0,,,,,,Warcraft - Warcraft,,-,-,,
7,Ori,/ori/10-22251/,,0,0,0,0,0,0,,,,,,,,-,-,,
8,Oriana Thomson,/oriana-thomson/10-32248/,Oriama Tomuson,0,0,0,0,0,0,,,,,,Toaru Universe - A Certain Magical Index Universe,,-,-,,
9,Orianna,/orianna/10-47701/,Orianna Reveck,70,6,6,15,50,15,"['Cyborgization', 'Inorganic Physiology', 'Longevity', 'Natural Armor', 'Toxin and Disease Resistance', 'Weapon-based Powers', 'Electrokinesis', 'Endurance', 'Force Fields', 'Gadget Usage', 'Mechanical Aptitude', 'Self-Sustenance', 'Shockwaves Generation', 'Cold Resistance', 'Damage Boost', 'Gravity Control', 'Magic', 'Separation', 'Statistics Amplification', 'Status Effect Inducement', 'Telekinesis']",,Piltover,"June 1st, 2011 (League of Legends)",Neutral,League Of Legends - League of Legends,Female,-,-,Blue,Gold
10,Origami Cyclone,/origami-cyclone/10-18467/,Ivan Karelin,0,0,0,0,0,0,,,,,,,,-,-,,
