,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,#1,/1/10-50216/,,0,0,0,0,0,0,,9 - 9 (Movie),,,,,,-,-,,
1,#2,/2/10-50215/,,0,0,0,0,0,0,,9 - 9 (Movie),,,,,,-,-,,
2,#3,/3/10-50214/,,0,0,0,0,0,0,,9 - 9 (Movie),,,,,,-,-,,
3,#4,/4/10-50213/,,0,0,0,0,0,0,,9 - 9 (Movie),,,,,,-,-,,
4,#5,/5/10-50212/,,0,0,0,0,0,0,,9 - 9 (Movie),,,,,,-,-,,
5,#6,/6/10-50211/,,0,0,0,0,0,0,,9 - 9 (Movie),,,,,,-,-,,
6,#7,/7/10-50210/,,0,0,0,0,0,0,,9 - 9 (Movie),,,,,,-,-,,
7,#8,/8/10-50209/,,0,0,0,0,0,0,,9 - 9 (Movie),,,,,,-,-,,
8,#9,/9/10-50208/,,0,0,0,0,0,0,,9 - 9 (Movie),,,,Good,-,-,-,-,-
9,001,/001/10-39302/,Il-Han,70,1,1,5,0,20,"['Master Tactician', 'Insanity', 'Morality Manipulation']",SQU - Squid Game Universe,,,Squid Game Ep 1,Neutral,Male,-,-,-,White
10,001,/001/10-41301/,,0,0,0,0,0,0,,DitF - DARLING in the FRANXX,,,,,,-,-,,
11,029,/029/10-39301/,Hwang In-Ho,65,1,6,10,5,40,"['Disguise Mastery', 'Master Tactician', 'Reflexes', 'Stealth', 'Weapons Master', 'Master Martial Artist']",SQU - Squid Game Universe,,,,Good,Male,-,-,-,Black
12,067,/067/10-41773/,Kang Sae-byeok,55,1,6,5,5,25,"['Stealth', 'Agility', 'Indomitable Will']",SQU - Squid Game Universe,,,Squid Game Ep 1,Good,Female,"175 cm • 5'8.9""",-,Brown,Black
13,1-A,/1-a/10-29845/,,0,0,0,0,0,0,,,,,,,,-,-,,
